region,year,matrix,total_prelevements,non_conformes_france,non_conformes_danemark,non_conformes_usa,pourcentage_france,pourcentage_danemark,pourcentage_usa
Auvergne-Rhône-Alpes,2008,Surface water,5,0,5,5,0,100,100
Auvergne-Rhône-Alpes,2009,Groundwater,11,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2009,Surface water,8,0,6,7,0,75,87.5
Auvergne-Rhône-Alpes,2010,Groundwater,17,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2010,Surface water,2,0,1,2,0,50,100
Auvergne-Rhône-Alpes,2011,Groundwater,42,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2011,Surface water,4,0,2,4,0,50,100
Auvergne-Rhône-Alpes,2012,Surface water,18,0,9,13,0,50,72.22222222222221
Auvergne-Rhône-Alpes,2013,Surface water,6,0,1,3,0,16.666666666666664,50
Auvergne-Rhône-Alpes,2014,Drinking water,3,0,3,3,0,100,100
Auvergne-Rhône-Alpes,2014,Surface water,57,0,4,29,0,7.017543859649122,50.877192982456144
Auvergne-Rhône-Alpes,2015,Biota,9,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2015,Surface water,102,0,14,60,0,13.725490196078432,58.82352941176471
Auvergne-Rhône-Alpes,2016,Sediment,3,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2016,Surface water,138,0,18,56,0,13.043478260869565,40.57971014492754
Auvergne-Rhône-Alpes,2017,Biota,10,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2017,Groundwater,5,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2017,Sediment,6,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2017,Surface water,149,0,34,67,0,22.818791946308725,44.966442953020135
Auvergne-Rhône-Alpes,2018,Biota,34,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2018,Groundwater,123,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2018,Sediment,1,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2018,Surface water,394,0,89,148,0,22.588832487309645,37.56345177664975
Auvergne-Rhône-Alpes,2019,Biota,16,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2019,Groundwater,161,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2019,Surface water,509,0,137,193,0,26.91552062868369,37.91748526522593
Auvergne-Rhône-Alpes,2020,Biota,21,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2020,Groundwater,200,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2020,Surface water,477,0,119,144,0,24.947589098532493,30.18867924528302
Auvergne-Rhône-Alpes,2021,Biota,6,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2021,Groundwater,206,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2021,Surface water,623,0,171,207,0,27.447833065810595,33.22632423756019
Auvergne-Rhône-Alpes,2022,Biota,51,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2022,Groundwater,258,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2022,Sediment,2,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2022,Surface water,824,0,679,410,0,82.40291262135922,49.75728155339806
Auvergne-Rhône-Alpes,2023,Biota,5,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2023,Drinking water,18,1,18,15,5.555555555555555,100,83.33333333333334
Auvergne-Rhône-Alpes,2023,Groundwater,432,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2023,Sediment,2,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2023,Surface water,699,0,561,373,0,80.25751072961373,53.36194563662375
Auvergne-Rhône-Alpes,2024,Biota,30,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2024,Drinking water,181,13,130,95,7.18232044198895,71.8232044198895,52.48618784530387
Auvergne-Rhône-Alpes,2024,Groundwater,364,0,0,0,0,0,0
Auvergne-Rhône-Alpes,2024,Surface water,40,0,27,14,0,67.5,35
Auvergne-Rhône-Alpes,2024,Unknown,6,0,0,0,0,0,0
Bourgogne-Franche-Comté,2009,Groundwater,8,0,0,0,0,0,0
Bourgogne-Franche-Comté,2009,Surface water,4,0,4,4,0,100,100
Bourgogne-Franche-Comté,2010,Groundwater,7,0,0,0,0,0,0
Bourgogne-Franche-Comté,2010,Surface water,2,0,1,1,0,50,50
Bourgogne-Franche-Comté,2011,Groundwater,30,0,0,0,0,0,0
Bourgogne-Franche-Comté,2011,Surface water,2,0,1,2,0,50,100
Bourgogne-Franche-Comté,2012,Surface water,3,0,3,3,0,100,100
Bourgogne-Franche-Comté,2013,Surface water,12,4,11,12,33.33333333333333,91.66666666666666,100
Bourgogne-Franche-Comté,2014,Surface water,10,0,4,4,0,40,40
Bourgogne-Franche-Comté,2015,Biota,6,0,0,0,0,0,0
Bourgogne-Franche-Comté,2015,Sediment,1,0,0,0,0,0,0
Bourgogne-Franche-Comté,2015,Surface water,25,0,21,24,0,84,96
Bourgogne-Franche-Comté,2016,Sediment,5,0,0,0,0,0,0
Bourgogne-Franche-Comté,2016,Surface water,154,0,105,54,0,68.18181818181817,35.064935064935064
Bourgogne-Franche-Comté,2017,Biota,10,0,0,0,0,0,0
Bourgogne-Franche-Comté,2017,Groundwater,18,0,0,0,0,0,0
Bourgogne-Franche-Comté,2017,Sediment,5,0,0,0,0,0,0
Bourgogne-Franche-Comté,2017,Surface water,167,0,134,76,0,80.23952095808383,45.50898203592814
Bourgogne-Franche-Comté,2018,Biota,14,0,0,0,0,0,0
Bourgogne-Franche-Comté,2018,Groundwater,18,0,0,0,0,0,0
Bourgogne-Franche-Comté,2018,Sediment,1,0,0,0,0,0,0
Bourgogne-Franche-Comté,2018,Surface water,417,0,197,128,0,47.24220623501199,30.69544364508393
Bourgogne-Franche-Comté,2019,Biota,13,0,0,0,0,0,0
Bourgogne-Franche-Comté,2019,Groundwater,40,0,0,0,0,0,0
Bourgogne-Franche-Comté,2019,Sediment,1,0,0,0,0,0,0
Bourgogne-Franche-Comté,2019,Surface water,258,0,73,60,0,28.294573643410853,23.25581395348837
Bourgogne-Franche-Comté,2020,Biota,7,0,0,0,0,0,0
Bourgogne-Franche-Comté,2020,Groundwater,50,0,0,0,0,0,0
Bourgogne-Franche-Comté,2020,Surface water,465,0,129,78,0,27.741935483870968,16.7741935483871
Bourgogne-Franche-Comté,2021,Biota,9,0,0,0,0,0,0
Bourgogne-Franche-Comté,2021,Groundwater,69,0,0,0,0,0,0
Bourgogne-Franche-Comté,2021,Surface water,271,0,39,37,0,14.391143911439114,13.653136531365314
Bourgogne-Franche-Comté,2022,Biota,30,0,0,0,0,0,0
Bourgogne-Franche-Comté,2022,Groundwater,66,0,0,0,0,0,0
Bourgogne-Franche-Comté,2022,Surface water,565,0,455,220,0,80.53097345132744,38.93805309734513
Bourgogne-Franche-Comté,2023,Biota,9,0,0,0,0,0,0
Bourgogne-Franche-Comté,2023,Groundwater,141,0,0,0,0,0,0
Bourgogne-Franche-Comté,2023,Surface water,445,0,361,202,0,81.12359550561797,45.39325842696629
Bourgogne-Franche-Comté,2024,Biota,4,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Drinking water,9,0,4,2,0,44.44444444444444,22.22222222222222
Bourgogne-Franche-Comté,2024,Groundwater,150,0,0,0,0,0,0
Bourgogne-Franche-Comté,2024,Surface water,232,0,75,20,0,32.327586206896555,8.620689655172415
Bretagne,2009,Surface water,3,0,3,3,0,100,100
Bretagne,2010,Surface water,1,0,1,1,0,100,100
Bretagne,2011,Groundwater,10,0,0,0,0,0,0
Bretagne,2016,Sediment,5,0,0,0,0,0,0
Bretagne,2017,Groundwater,13,0,0,0,0,0,0
Bretagne,2017,Sediment,10,0,0,0,0,0,0
Bretagne,2018,Biota,27,0,0,0,0,0,0
Bretagne,2018,Groundwater,26,0,0,0,0,0,0
Bretagne,2018,Surface water,12,0,12,10,0,100,83.33333333333334
Bretagne,2019,Biota,1,0,0,0,0,0,0
Bretagne,2019,Groundwater,39,0,0,0,0,0,0
Bretagne,2019,Sediment,2,0,0,0,0,0,0
Bretagne,2019,Surface water,182,0,140,53,0,76.92307692307693,29.120879120879124
Bretagne,2020,Biota,1,0,0,0,0,0,0
Bretagne,2020,Groundwater,17,0,0,0,0,0,0
