substance,total_value,percentage
"1-Heptanesulfonic acid, pentadecafluoro- (6CI)",147048.66900000029,1.0637322162667924
"1-Octanesulfonic acid, 1,1,2,2,3,3,4,4,5,5,6,6,7,7,8,8,8-heptadecafluoro-, potassium salt (8CI,9CI)",163.79999999999993,0.00118490931070243
"1-Octanesulfonic acid, 3,3,4,4,5,5,6,6,7,7,8,8,8-tridecafluoro-, potassium salt (9CI)",7.1937180000000005,5.203848251994925e-5
10:2 FTCA,45.04499999999999,3.2585006044316906e-4
10:2 FTUCA,45.045,3.2585006044316917e-4
"4,4,5,5,6,6,7,7,8,8,8-Undecafluorooctanoic acid",49.29226499999999,3.5657425973206145e-4
4:2 FTSA,217,0.00156975165093057
6:2 FTCA,97,7.016862218445423e-4
6:2 FTSA,39755.98799999999,0.2875899898496593
8:2 FTCA,12.002999999999998,8.68282445443303e-5
8:2 FTSA,146.015,0.0010562547802333
8:2 FTUCA,3.0029999999999997,2.172333736287794e-5
FOSA,592.3359999999999,0.00428488670002586
"Glycine, N-[(heptadecafluorooctyl)sulfonyl]-N-methyl- (9CI)",4,2.893551430286773e-5
N-Et-FOSA-A,22,1.591453286657725e-4
PFBA,27578.54399899997,0.1994998385838326
PFBS,19152.84562400009,0.138549359623468
PFDA,679426.3959999996,4.914888049800965
PFDS,121647.761,0.8799851320818336
PFDoDA,638259.621,4.617092598097108
PFDoS,135549.5,0.980548623999142
PFHpA,95368.0774380004,0.6898810921860644
PFHpS,0.6950000000000001,5.027545610123267e-6
PFHxA,891236.7866280006,6.447098696679094
PFHxS,531810.856858,3.84705516375875
PFNA,270460.3001929998,1.9564769711481111
PFNS,108407,0.7842030747577453
PFOA,2065333.3903060013,14.940370963847396
PFODA,25.19,1.822214013223095e-4
PFOS,7390123.273594987,53.459254420765845
PFPeA,87483.46574299998,0.6328447685677535
PFPeS,4032.2,0.0291684451930058
PFTrDA,325935.7,2.357779277291301
PFTrS,64,4.629682288458836e-4
PFU(n)DA,1355.8439999999996,0.00980801086361434
Perfluorobutanesulfonic acid,584.5409999999997,0.00422849861652814
Perfluorooctanesulfonate,4107.344999999998,0.02971203499857804
Perfluoroundecanesulfonic acid,228024.8,1.649503715452138
PfHxDA,25.8,1.8663406725349683e-4
TFA,9484,0.06860610441209937
"Tetradecanoic acid, heptacosafluoro- (9CI)",156.44,0.00113166796438515
