year,total_prelevements,non_conformes_France,pourcentage_non_conformes_France,non_conformes_Danemark,pourcentage_non_conformes_Danemark,non_conformes_USA,pourcentage_non_conformes_USA
2006,7,0,0,0,0,0,0
2008,21,0,0,0,0,0,0
2009,165,54,32.73,54,32.73,3,1.82
2010,97,46,47.42,46,47.42,0,0
2011,307,249,81.11,170,55.37,7,2.28
2012,91,20,21.98,15,16.48,2,2.2
2013,133,4,3.01,3,2.26,0,0
2014,222,92,41.44,36,16.22,0,0
2015,493,192,38.95,152,30.83,28,5.68
2016,4269,348,8.15,291,6.82,25,0.59
2017,4437,513,11.56,409,9.22,100,2.25
2018,5531,700,12.66,603,10.9,180,3.25
2019,6885,876,12.72,746,10.84,159,2.31
2020,6831,1060,15.52,862,12.62,123,1.8
2021,7169,1076,15.01,884,12.33,127,1.77
2022,8346,1210,14.5,1123,13.46,285,3.41
2023,6499,1174,18.06,1111,17.09,265,4.08
2024,4565,962,21.07,844,18.49,123,2.69
