region,year,total_prelevements,non_conformes_france,non_conformes_danemark,non_conformes_usa,pourcentage_France,pourcentage_Danemark,pourcentage_USA
Auvergne-Rhône-Alpes,2008,5,0,5,5,0,100,100
Auvergne-Rhône-Alpes,2009,19,0,6,7,0,31.57894736842105,36.84210526315789
Auvergne-Rhône-Alpes,2010,19,0,1,2,0,5.263157894736842,10.526315789473683
Auvergne-Rhône-Alpes,2011,46,0,2,4,0,4.3478260869565215,8.695652173913043
Auvergne-Rhône-Alpes,2012,18,0,9,13,0,50,72.22222222222221
Auvergne-Rhône-Alpes,2013,6,0,1,3,0,16.666666666666664,50
Auvergne-Rhône-Alpes,2014,60,0,7,32,0,11.666666666666666,53.333333333333336
Auvergne-Rhône-Alpes,2015,111,0,14,60,0,12.612612612612612,54.054054054054056
Auvergne-Rhône-Alpes,2016,141,0,18,56,0,12.76595744680851,39.71631205673759
Auvergne-Rhône-Alpes,2017,170,0,34,67,0,20,39.411764705882355
Auvergne-Rhône-Alpes,2018,552,0,89,148,0,16.1231884057971,26.81159420289855
Auvergne-Rhône-Alpes,2019,686,0,137,193,0,19.97084548104956,28.134110787172013
Auvergne-Rhône-Alpes,2020,698,0,119,144,0,17.048710601719197,20.63037249283668
Auvergne-Rhône-Alpes,2021,835,0,171,207,0,20.479041916167663,24.790419161676645
Auvergne-Rhône-Alpes,2022,1135,0,679,410,0,59.82378854625551,36.12334801762114
Auvergne-Rhône-Alpes,2023,1156,1,579,388,0.08650519031141869,50.086505190311414,33.56401384083045
Auvergne-Rhône-Alpes,2024,621,13,157,109,2.0933977455716586,25.28180354267311,17.55233494363929
Bourgogne-Franche-Comté,2009,12,0,4,4,0,33.33333333333333,33.33333333333333
Bourgogne-Franche-Comté,2010,9,0,1,1,0,11.11111111111111,11.11111111111111
Bourgogne-Franche-Comté,2011,32,0,1,2,0,3.125,6.25
Bourgogne-Franche-Comté,2012,3,0,3,3,0,100,100
Bourgogne-Franche-Comté,2013,12,4,11,12,33.33333333333333,91.66666666666666,100
Bourgogne-Franche-Comté,2014,10,0,4,4,0,40,40
Bourgogne-Franche-Comté,2015,32,0,21,24,0,65.625,75
Bourgogne-Franche-Comté,2016,159,0,105,54,0,66.0377358490566,33.9622641509434
Bourgogne-Franche-Comté,2017,200,0,134,76,0,67,38
Bourgogne-Franche-Comté,2018,450,0,197,128,0,43.77777777777778,28.444444444444443
Bourgogne-Franche-Comté,2019,312,0,73,60,0,23.397435897435894,19.230769230769234
Bourgogne-Franche-Comté,2020,522,0,129,78,0,24.71264367816092,14.942528735632186
Bourgogne-Franche-Comté,2021,349,0,39,37,0,11.174785100286533,10.601719197707736
Bourgogne-Franche-Comté,2022,661,0,455,220,0,68.83509833585477,33.28290468986384
Bourgogne-Franche-Comté,2023,595,0,361,202,0,60.67226890756302,33.94957983193277
Bourgogne-Franche-Comté,2024,395,0,79,22,0,20,5.5696202531645564
Bretagne,2009,3,0,3,3,0,100,100
Bretagne,2010,1,0,1,1,0,100,100
Bretagne,2011,10,0,0,0,0,0,0
Bretagne,2016,5,0,0,0,0,0,0
Bretagne,2017,23,0,0,0,0,0,0
Bretagne,2018,65,0,12,10,0,18.461538461538463,15.384615384615383
Bretagne,2019,224,0,140,53,0,62.5,23.660714285714285
Bretagne,2020,273,0,188,51,0,68.86446886446886,18.68131868131868
Bretagne,2021,321,0,193,61,0,60.12461059190031,19.003115264797508
Bretagne,2022,175,0,120,60,0,68.57142857142857,34.285714285714285
Bretagne,2023,163,0,93,47,0,57.05521472392638,28.834355828220858
Bretagne,2024,31,0,3,4,0,9.67741935483871,12.903225806451612
Centre-Val de Loire,2009,10,0,6,4,0,60,40
Centre-Val de Loire,2010,5,0,2,2,0,40,40
Centre-Val de Loire,2011,7,0,0,0,0,0,0
Centre-Val de Loire,2013,1,0,1,1,0,100,100
Centre-Val de Loire,2015,3,0,0,0,0,0,0
Centre-Val de Loire,2016,169,0,160,74,0,94.67455621301777,43.786982248520715
Centre-Val de Loire,2017,241,0,198,97,0,82.15767634854771,40.24896265560166
Centre-Val de Loire,2018,209,0,134,51,0,64.11483253588517,24.401913875598087
Centre-Val de Loire,2019,332,0,258,92,0,77.71084337349397,27.710843373493976
Centre-Val de Loire,2020,358,0,279,115,0,77.93296089385476,32.122905027932966
Centre-Val de Loire,2021,417,0,225,69,0,53.956834532374096,16.546762589928058
Centre-Val de Loire,2022,376,0,312,139,0,82.97872340425532,36.96808510638298
Centre-Val de Loire,2023,352,0,232,117,0,65.9090909090909,33.23863636363637
Centre-Val de Loire,2024,286,0,173,59,0,60.48951048951049,20.62937062937063
Corse,2018,6,0,0,0,0,0,0
Corse,2019,9,0,0,0,0,0,0
Corse,2020,6,0,0,0,0,0,0
Corse,2021,6,0,0,0,0,0,0
Corse,2022,13,0,7,3,0,53.84615384615385,23.076923076923077
Corse,2023,14,0,6,4,0,42.857142857142854,28.57142857142857
Corse,2024,3,0,0,0,0,0,0
Grand Est,2006,1,0,1,1,0,100,100
Grand Est,2008,15,0,15,14,0,100,93.33333333333331
Grand Est,2009,37,0,19,19,0,51.35135135135135,51.35135135135135
Grand Est,2010,18,0,13,14,0,72.22222222222221,77.77777777777779
Grand Est,2011,30,0,13,11,0,43.333333333333336,36.666666666666664
Grand Est,2012,16,0,16,13,0,100,81.25
Grand Est,2013,32,1,32,19,3.125,100,59.375
Grand Est,2014,19,0,19,9,0,100,47.368421052631575
Grand Est,2015,194,0,17,5,0,8.762886597938143,2.5773195876288657
Grand Est,2016,1695,0,507,134,0,29.91150442477876,7.905604719764011
Grand Est,2017,1395,0,1072,288,0,76.84587813620072,20.64516129032258
Grand Est,2018,1398,1,953,464,0.07153075822603719,68.16881258941345,33.190271816881264
Grand Est,2019,2317,0,1505,737,0,64.95468277945619,31.808372895986185
Grand Est,2020,1474,0,851,410,0,57.73405698778833,27.815468113975577
Grand Est,2021,1705,1,960,364,0.05865102639296188,56.30498533724341,21.34897360703813
Grand Est,2022,1587,0,1012,347,0,63.76811594202898,21.865154379332072
Grand Est,2023,415,0,291,82,0,70.12048192771084,19.75903614457831
Grand Est,2024,513,31,218,59,6.042884990253411,42.49512670565302,11.500974658869396
Guadeloupe,2012,3,0,0,0,0,0,0
Guadeloupe,2019,1,0,0,0,0,0,0
Guadeloupe,2022,2,0,0,0,0,0,0
Guyane,2012,6,0,0,0,0,0,0
Guyane,2017,1,0,0,0,0,0,0
Guyane,2019,1,0,1,0,0,100,0
Guyane,2023,1,0,0,0,0,0,0
Guyane,2024,1,0,0,0,0,0,0
Hauts-de-France,2009,5,0,0,0,0,0,0
Hauts-de-France,2010,9,0,2,2,0,22.22222222222222,22.22222222222222
Hauts-de-France,2011,18,0,0,0,0,0,0
Hauts-de-France,2012,1,0,0,1,0,0,100
Hauts-de-France,2013,5,0,4,5,0,80,100
Hauts-de-France,2014,93,0,0,0,0,0,0
Hauts-de-France,2016,542,0,489,157,0,90.22140221402212,28.96678966789668
Hauts-de-France,2017,572,0,471,163,0,82.34265734265735,28.496503496503493
